round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,last_activation,learning_rate,loss,optimizer
50,0.0633893638368075,0.9801,0.07692466646432877,0.9777,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06470875293792536,0.9801667,0.07375749159604311,0.9811,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06437485083704814,0.98011667,0.07760742781683802,0.9802,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06785040681716055,0.9793,0.06683995947241783,0.9822,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0661802954847614,0.9798833,0.07180022690445184,0.9784,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06478471490244071,0.97933334,0.06830811662599444,0.9822,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06515367767152687,0.97955,0.07876872951164841,0.9791,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.061640540681158505,0.9812667,0.08078091498464346,0.9753,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.064603846569856,0.9794667,0.0663167948834598,0.9811,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.040559053865727036,0.98646665,0.0714589385688305,0.9811,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04238139593973756,0.98635,0.08142181023955346,0.9812,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044989326340146366,0.98536664,0.08293072099797427,0.9779,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04337945427279919,0.9860167,0.0820224284939468,0.9802,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.03948841721750796,0.98688334,0.07653391312807799,0.9806,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04306616267189384,0.98581666,0.07721323694335297,0.9801,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04363133367616683,0.98616666,0.08789171021431684,0.9759,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04323149388190359,0.98578334,0.07735335816629231,0.9792,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.040915060015395285,0.98651665,0.07566137023270131,0.9802,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04021490402519703,0.98698336,0.07594095554202795,0.981,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06265414000954479,0.9803333,0.07050299480557441,0.9804,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06587448487058283,0.97955,0.06842251352965832,0.9777,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059597921213135126,0.9808,0.06776943765580654,0.9804,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059650682918727396,0.98135,0.07124005071818829,0.9805,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.060542828179895876,0.98081666,0.062245145197957756,0.9818,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.061424682550132274,0.98041666,0.07516778970137239,0.9802,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059594602575525644,0.9809167,0.06692898645997047,0.9808,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06312209820840507,0.98001665,0.06303416628390551,0.9812,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06389994980301708,0.98006666,0.0747867788001895,0.9799,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0621477839211002,0.98045,0.07360895413905383,0.9805,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
